,0
183,1504.0
184,1516.0
185,1519.0
186,1520.0
187,1509.0
188,1503.0
189,1522.0
190,1521.0
191,1514.0
192,1529.0
193,1513.0
194,1521.0
195,1507.0
196,1522.0
197,1473.0
198,1498.0
199,1502.0
200,1482.0
201,1518.0
202,1525.0
203,1524.0
204,1518.0
205,1519.0
206,1506.0
207,1524.0
208,1509.0
209,1521.0
210,1530.0
211,1510.0
212,1520.0
213,1510.0
214,1524.0
215,1528.0
216,1506.0
217,1519.0
218,1501.0
219,1476.0
220,1515.0
221,1514.0
222,1522.0
223,1520.0
224,1528.0
225,1519.0
226,1496.0
227,1526.0
228,1503.0
229,1499.0
230,1519.0
231,1516.0
232,1514.0
233,1531.0
234,1510.0
235,1517.0
236,1492.0
237,1515.0
238,1515.0
239,1509.0
240,1516.0
241,1464.0
242,1508.0
243,1515.0
244,1504.0
245,1506.0
246,1499.0
247,1510.0
248,1507.0
249,1496.0
250,1516.0
251,1514.0
252,1482.0
253,1515.0
254,1496.0
255,1480.0
256,1520.0
257,1529.0
258,1525.0
259,1505.0
260,1516.0
261,1462.0
262,1469.0
263,1522.0
264,1516.0
265,1522.0
266,1505.0
267,1516.0
268,1511.0
269,1522.0
270,1516.0
271,1486.0
272,1515.0
273,1521.0
274,1504.0
275,1503.0
276,1519.0
277,1488.0
278,1521.0
279,1515.0
280,1522.0
281,1514.0
282,1505.0
283,1464.0
284,1528.0
285,1521.0
286,1501.0
287,1525.0
288,1518.0
289,1511.0
290,1523.0
291,1524.0
292,1519.0
293,1495.0
294,1528.0
295,1527.0
296,1524.0
297,1502.0
298,1514.0
299,1528.0
300,1520.0
301,1519.0
302,1532.0
303,1513.0
304,1521.0
305,1491.0
306,1499.0
307,1525.0
308,1510.0
309,1521.0
310,1520.0
311,1508.0
312,1522.0
313,1514.0
314,1501.0
315,1508.0
316,1499.0
317,1516.0
318,1519.0
319,1495.0
320,1519.0
321,1517.0
322,1517.0
323,1426.0
324,1502.0
325,1534.0
326,1517.0
327,1528.0
328,1487.0
329,1499.0
330,1519.0
331,1506.0
332,1521.0
333,1506.0
334,1483.0
335,1512.0
336,1532.0
337,1481.0
338,1510.0
339,1509.0
340,1500.0
341,1521.0
342,1492.0
343,1509.0
344,1526.0
345,1532.0
346,1511.0
347,1475.0
348,1525.0
349,1524.0
350,1531.0
351,1519.0
352,1482.0
353,1527.0
354,1517.0
355,1535.0
356,1521.0
357,1513.0
358,1519.0
359,1502.0
360,1513.0
361,1509.0
362,1516.0
363,1482.0
364,1465.0
365,1506.0
366,1524.0
367,1512.0
368,1507.0
369,1523.0
370,1502.0
371,1512.0
372,1494.0
373,1517.0
374,1520.0
375,1509.0
376,1522.0
377,1508.0
378,1510.0
379,1486.0
380,1510.0
381,1526.0
382,1513.0
383,1527.0
384,1514.0
385,1506.0
386,1511.0
387,1508.0
388,1505.0
389,1497.0
390,1522.0
391,1499.0
392,1490.0
393,1493.0
394,1513.0
395,1520.0
396,1495.0
397,1525.0
398,1522.0
399,1502.0
400,1499.0
401,1511.0
402,1516.0
403,1489.0
404,1512.0
405,1483.0
406,1529.0
407,1524.0
408,1518.0
409,1504.0
410,1520.0
411,1520.0
412,1525.0
413,1517.0
414,1499.0
415,1518.0
416,1506.0
417,1504.0
418,1511.0
419,1523.0
420,1509.0
421,1490.0
422,1480.0
423,1515.0
424,1471.0
425,1507.0
426,1509.0
427,1524.0
428,1504.0
429,1521.0
430,1526.0
431,1491.0
432,1514.0
433,1509.0
434,1526.0
435,1517.0
436,1509.0
437,1511.0
438,1512.0
439,1496.0
440,1506.0
441,1515.0
442,1520.0
443,1526.0
444,1497.0
445,1522.0
446,1523.0
447,1517.0
448,1499.0
449,1491.0
450,1521.0
451,1504.0
452,1525.0
453,1524.0
454,1524.0
455,1517.0
456,1526.0
457,1515.0
458,1516.0
459,1427.0
460,1507.0
461,1498.0
462,1525.0
463,1530.0
464,1502.0
465,1505.0
466,1481.0
467,1519.0
468,1521.0
469,1524.0
470,1523.0
471,1525.0
472,1513.0
473,1519.0
474,1518.0
475,1482.0
476,1520.0
477,1519.0
478,1530.0
479,1519.0
480,1516.0
481,1501.0
482,1526.0
483,1523.0
